Fries: Eating Out, Casual, Salty, Light
Baked Salmon: Dining In, Healthy, Salty, Full
Steak: Dining In, Healthy, Salty, Full
Steak: Eating Out, Healthy, Salty, Full
Grilled Chicken: Eating Out, Healthy, Salty, Light
Grilled Salmon: Eating Out, Healthy, Salty, Light
Ravioli: Dining In, Casual, Salty, Full
Burrito: Eating Out, Casual, Salty, Full
Spaghetti: Eating Out, Casual, Salty, Full
Omelet: Eating Out, Casual, Salty, Full
Nachos: Eating Out, Casual, Salty, Full
Hamburger: Eating Out, Casual, Salty, Full
Ice cream: Eating Out, Casual, Sweet, Light
Hot Dog: Eating Out, Casual, Salty, Light
